StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept,StopCount_z,EthnicMinority_z,MeanHousePrice_z,CrimeSum_z,DrugCrimeSum_z,IncomeDomainScore_z,gini
23.0,12.0,E01004492,Wandsworth,1741,29.52,0.102,240.0,5.0,704561.0,London,-0.119,-0.838,0.05,0.156,-0.128,-0.457,0.2645893590266097
142.0,117.0,E01004319,Tower Hamlets,2505,77.6,0.251,231.0,21.0,406845.0,London,1.415,1.733,-0.553,0.125,0.852,1.578,0.0916467499098019
0.0,0.0,E01004623,Wandsworth,1771,18.63,0.069,93.0,2.0,891260.0,London,-0.415,-1.42,0.427,-0.35,-0.312,-0.907,0.2616886959622029
84.0,71.0,E01035679,Tower Hamlets,1604,59.1,0.13545803820562352,12.0,2.0,680011.4373197248,London,0.668,0.744,-0.0,-0.629,-0.312,0.0,0.1817330609465441
37.0,19.0,E01004348,Waltham Forest,2948,50.68,0.122,284.0,6.0,441965.0,London,0.062,0.294,-0.482,0.308,-0.067,-0.184,0.6305018400244268
42.0,39.0,E01004493,Wandsworth,1947,26.04,0.105,268.0,1.0,673949.0,London,0.126,-1.024,-0.012,0.253,-0.373,-0.416,0.2469129860538687
148.0,85.0,E01004321,Tower Hamlets,2145,73.75,0.264,385.0,38.0,680011.4373197248,London,1.493,1.527,-0.0,0.656,1.893,1.755,0.3713535291717666
7.0,2.0,E01004624,Wandsworth,1578,20.98,0.11,143.0,1.0,751279.0,London,-0.325,-1.294,0.144,-0.178,-0.373,-0.348,0.2902285309011485
10.0,9.0,E01035680,Tower Hamlets,1857,60.96,0.13545803820562352,1.0,0.0,680011.4373197248,London,-0.286,0.843,-0.0,-0.667,-0.435,0.0,0.1566346036253037
5.0,2.0,E01004349,Waltham Forest,1546,37.65,0.184,121.0,1.0,442725.0,London,-0.351,-0.403,-0.48,-0.254,-0.373,0.663,0.1549917384120358
11.0,6.0,E01004494,Wandsworth,1787,29.38,0.137,156.0,3.0,619546.0,London,-0.273,-0.845,-0.122,-0.133,-0.251,0.021,0.5279805102529267
34.0,26.0,E01004495,Wandsworth,1587,57.09,0.222,209.0,10.0,574974.0,London,0.023,0.636,-0.212,0.049,0.178,1.182,0.1313059877416313
21.0,6.0,E01004496,Wandsworth,1933,19.24,0.069,237.0,6.0,627211.0,London,-0.144,-1.387,-0.107,0.146,-0.067,-0.907,0.2558153151497078
7.0,2.0,E01004497,Wandsworth,1495,21.81,0.119,74.0,0.0,958609.0,London,-0.325,-1.25,0.564,-0.415,-0.435,-0.225,0.1183571900142922
5.0,1.0,E01004498,Wandsworth,1686,13.29,0.064,135.0,1.0,769177.0,London,-0.351,-1.705,0.18,-0.205,-0.373,-0.976,0.2259990438548922
15.0,8.0,E01004499,Wandsworth,1607,27.63,0.093,79.0,2.0,826998.0,London,-0.222,-0.939,0.297,-0.398,-0.312,-0.58,0.3242332008010975
5.0,3.0,E01004500,Wandsworth,1926,27.36,0.076,103.0,2.0,491085.0,London,-0.351,-0.953,-0.382,-0.316,-0.312,-0.812,0.2598658301690051
2.0,1.0,E01004501,Wandsworth,1532,30.16,0.129,82.0,3.0,695638.0,London,-0.389,-0.804,0.032,-0.388,-0.251,-0.088,0.419975519021857
10.0,6.0,E01004502,Wandsworth,1642,21.19,0.038,77.0,0.0,1242756.0,London,-0.286,-1.283,1.138,-0.405,-0.435,-1.331,0.2860838216137017
2.0,2.0,E01004503,Wandsworth,1704,24.59,0.111,158.0,5.0,726108.0,London,-0.389,-1.101,0.093,-0.126,-0.128,-0.334,0.2956548775844249
5.0,5.0,E01004504,Wandsworth,1524,25.52,0.075,52.0,2.0,883198.0,London,-0.351,-1.052,0.411,-0.491,-0.312,-0.826,0.3163638262322473
11.0,9.0,E01004505,Wandsworth,1618,30.41,0.041,73.0,3.0,701334.0,London,-0.273,-0.79,0.043,-0.419,-0.251,-1.29,0.3710658284507761
26.0,14.0,E01004506,Wandsworth,2216,23.15,0.054,156.0,2.0,1007179.0,London,-0.08,-1.178,0.662,-0.133,-0.312,-1.112,0.4686874320604764
8.0,4.0,E01004507,Wandsworth,2585,29.05,0.064,181.0,3.0,573537.0,London,-0.312,-0.863,-0.215,-0.047,-0.251,-0.976,0.2128917358729439
9.0,1.0,E01004508,Wandsworth,2001,18.64,0.069,227.0,4.0,762342.0,London,-0.299,-1.419,0.167,0.111,-0.19,-0.907,0.3439084716290511
3.0,3.0,E01004510,Wandsworth,1841,20.7,0.054,107.0,0.0,794688.0,London,-0.376,-1.309,0.232,-0.302,-0.435,-1.112,0.3287895837380956
0.0,0.0,E01004511,Wandsworth,1590,15.6,0.035,124.0,3.0,806660.0,London,-0.415,-1.582,0.256,-0.243,-0.251,-1.372,0.249015319556947
7.0,3.0,E01004512,Wandsworth,1455,16.77,0.07,44.0,2.0,1066428.0,London,-0.325,-1.519,0.782,-0.519,-0.312,-0.894,0.3222868796528433
